date,usd_krw,kr_base_rate
2020-01-02,1157.8,1.25
2020-01-03,1156.9,1.25
2020-01-06,1162.7,1.25
2020-01-07,1169.6,1.25
2020-01-08,1165.3,1.25
2020-01-09,1174.1,1.25
2020-01-10,1160.0,1.25
2020-01-13,1161.1,1.25
2020-01-14,1155.7,1.25
2020-01-15,1153.1,1.25
2020-01-16,1158.8,1.25
2020-01-17,1159.6,1.25
2020-01-20,1158.8,1.25
2020-01-21,1158.8,1.25
2020-01-22,1164.7,1.25
2020-01-23,1165.1,1.25
2020-01-28,1167.2,1.25
2020-01-29,1176.7,1.25
2020-01-30,1176.0,1.25
2020-01-31,1183.5,1.25
2020-02-03,1187.8,1.25
2020-02-04,1196.0,1.25
2020-02-05,1189.4,1.25
2020-02-06,1188.5,1.25
2020-02-07,1181.4,1.25
2020-02-10,1187.2,1.25
2020-02-11,1189.8,1.25
2020-02-12,1184.1,1.25
2020-02-13,1179.8,1.25
2020-02-14,1181.5,1.25
2020-02-17,1183.5,1.25
2020-02-18,1182.2,1.25
2020-02-19,1188.1,1.25
2020-02-20,1190.8,1.25
2020-02-21,1197.0,1.25
2020-02-24,1205.6,1.25
2020-02-25,1217.7,1.25
2020-02-26,1212.7,1.25
2020-02-27,1216.8,1.25
2020-02-28,1215.9,1.25
2020-03-02,1215.3,1.25
2020-03-03,1200.3,1.25
2020-03-04,1191.4,1.25
2020-03-05,1186.4,1.25
2020-03-06,1185.0,1.25
2020-03-09,1191.4,1.25
2020-03-10,1201.4,1.25
2020-03-11,1196.7,1.25
2020-03-12,1192.8,1.25
2020-03-13,1202.0,1.25
2020-03-16,1222.2,1.25
2020-03-17,1219.6,0.75
2020-03-18,1241.2,0.75
2020-03-19,1237.8,0.75
2020-03-20,1280.1,0.75
2020-03-23,1254.1,0.75
2020-03-24,1274.6,0.75
2020-03-25,1256.0,0.75
2020-03-26,1230.7,0.75
2020-03-27,1227.9,0.75
2020-03-30,1212.4,0.75
2020-03-31,1222.6,0.75
2020-04-01,1220.0,0.75
2020-04-02,1222.2,0.75
2020-04-03,1237.6,0.75
2020-04-06,1229.8,0.75
2020-04-07,1233.4,0.75
2020-04-08,1222.4,0.75
2020-04-09,1219.7,0.75
2020-04-10,1216.4,0.75
2020-04-13,1212.3,0.75
2020-04-14,1218.7,0.75
2020-04-16,1216.7,0.75
2020-04-17,1227.5,0.75
2020-04-20,1219.3,0.75
2020-04-21,1218.7,0.75
2020-04-22,1231.3,0.75
2020-04-23,1235.2,0.75
2020-04-24,1232.0,0.75
2020-04-27,1235.8,0.75
2020-04-28,1230.3,0.75
2020-04-29,1225.2,0.75
2020-05-04,1218.5,0.75
2020-05-06,1227.8,0.75
2020-05-07,1223.3,0.75
2020-05-08,1226.5,0.75
2020-05-11,1217.7,0.75
2020-05-12,1217.8,0.75
2020-05-13,1226.7,0.75
2020-05-14,1226.3,0.75
2020-05-15,1227.9,0.75
2020-05-18,1229.3,0.75
2020-05-19,1231.6,0.75
2020-05-20,1224.5,0.75
2020-05-21,1227.8,0.75
2020-05-22,1230.7,0.75
2020-05-25,1236.2,0.75
2020-05-26,1242.0,0.75
2020-05-27,1237.1,0.75
2020-05-28,1233.7,0.5
2020-05-29,1239.4,0.5
2020-06-01,1237.6,0.5
2020-06-02,1227.8,0.5
2020-06-03,1224.1,0.5
2020-06-04,1216.9,0.5
2020-06-05,1217.4,0.5
2020-06-08,1213.1,0.5
2020-06-09,1204.2,0.5
2020-06-10,1197.7,0.5
2020-06-11,1194.4,0.5
2020-06-12,1192.8,0.5
2020-06-15,1206.6,0.5
2020-06-16,1210.8,0.5
2020-06-17,1206.6,0.5
2020-06-18,1214.5,0.5
2020-06-19,1213.0,0.5
2020-06-22,1212.0,0.5
2020-06-23,1213.2,0.5
2020-06-24,1210.1,0.5
2020-06-25,1202.9,0.5
2020-06-26,1205.2,0.5
2020-06-29,1198.6,0.5
2020-06-30,1200.7,0.5
2020-07-01,1198.5,0.5
2020-07-02,1201.6,0.5
